PromEnh,PromOnly
GPT2,GJA3
FLT3,VOPP1
PRELP,HOXB5
BTBD11,DSTYK
ZFP36L2,PNPLA3
VCPKMT,SEC62
COG6,ACRC
DNAJB6,TNFAIP6
PUM1,PDXK
GSAP,SLC5A8
DOK4,CCDC185
IL3RA,GTF3C3
CCL1,FAM189A2
MAFB,GML
ENPP7,PTP4A3
ZNF365,ACSL1
VPREB1,GALNT15
GUCY1B3,DYDC1
BEND7,RFPL4AL1
SERINC5,CCDC182
CDK6,FGD4
TMEM260,CDS1
KNS2,ERVMER34-1
IFNGR1,C11orf85
CORO2B,MARCKS
PLSCR2,S100Z
USP25,GMPS
TIAM1,RAPGEF4
TGFBR2,PC
TMEM200C,PSCA
DKK1,PRKG2
AGPAT4,IQSEC3
XKR6,PPP2CB
TIMP3,LNX1
ARL4D,FAS
MYEOV,C2orf80
ARHGEF10L,FRY
PREX1,PTPRK
MAML3,TMEM9B
PPIF,TJP1
UBASH3B,SART1
PLXNA2,UXT
ZNF281,TAF9B
LRRC3,GUCY1A3
C10orf128,HTR4
SGMS1,HMGA2
SATB1,FOXI2
PTTG2,MOB3B
KCNJ2,MBTPS1
PRDM14,SGPP1
DYRK2,HRH1
NRIP1,MAEL
SIPA1L1,PANX3
C11orf58,CYFIP1
TNFSF18,IKBKG
GRIP1,SALL3
HIVEP3,LY6G6D
GALNTL6,RNH1
GREM1,AMMECR1
PTPRG,SLC35A2
CHMP6,AJAP1
EN1,SCN9A
SAMD4A,PIAS3
CDC42EP3,NAV2
ITGB8,IGF1
ATP2B4,LGI1
SAT,STRA6
DIP2C,USP51
SPRED2,FGF14
PDCD1,SP9
CD47,IL3RA
HHLA2,ADGRE2
NAV3,PAM
SNAI1,UNC93A
FREM3,PLPPR5
SOX9,EIF4E3
EMX2,SERPINF1
HSPA8,LONRF3
RBM33,C9orf47
PRKCE,EBAG9
C18orf8,UTY
GDI2,ZNF488
HDAC2,XKR7
IGLL1,UBB
CACNA1B,GRB10
DDIT4L,SNAI2
DDX10,KIF26B
T,CD38
PPP1R3G,CLCF1
MYCN,ELK3
MUC20,SYT5
RLIM,EVA1B
ASCL1,COL4A1
PTPRC,CCL13
ALX4,ZNF449
KBTBD8,MLH1
SLCO4C1,CCL25
TP53AIP1,HAO1
SNAPC1,GPBP1
FMN1,FOXA2
WDR66,MSR1
JUP,CIC
PGBD5,G6PD
CIDEA,KRT86
SIX2,OAS1
EFNA5,TCF7
CACNA1C,PBDC1
HMHB1,MCOLN2
TLR7,FOXE1
IRAK3,STMN2
CDH23,SH3GL2
PRDM4,LGALS3BP
P2RY10,BARX2
MTDH,PMFBP1
ALPK2,EBF2
GRAMD1B,DSG2
MTX2,RPL10
MRPS9,DST
UTRN,CTNND1
NDUFV2,ARL4
TMSB4X,PPFIA2
STK32B,KLHL15
C4orf45,SOWAHD
GTDC1,RNF187
CUX1,INTS4
SMC3,SEMA3C
ST8SIA4,SATB1
NUDT4,BCAS1
VAPA,SCML1
RNF145,FCER1A
HLF,IGF1R
ANK3,RASA1
RREB1,RPS6KB1
OSBPL1A,LARGE
ABL2,PLEKHA5
STARD13,WNT2
PPP2R5C,KIR2DL1
BANP,SLC17A2
VPS26A,CLEC4F
TXNDC2,IL6
FAM84B,ZNF285
LGALSL,FGD6
AASS,SLC35F4
TNS3,PGR
BCL6,ABLIM1
PITPNB,FAM163A
VPS37B,TES
TLE6,NPC2
MAGEF1,CIB4
TVP23A,FAM129C
SH2D4B,TRAF1
CHST11,CDC73
RAB11FIP4,KRT17
RPS6KA2,TEAD2
BCL11A,ROBO1
SPATA13,TNS1
MACC1,REC114
DCUN1D1,PPM1A
INSR,DRD1
MOCS2,NKX6-1
POU3F2,IGLL1
FGF2,EPSTI1
C21orf91,TAF1
ENPP6,POU6F2
ZHX2,IGF2
PKP4,NT5E
FRG2C,FFAR3
PHF6,ZNF366
GFOD1,NPR3
PROSC,PREX2
ZNF730,VSTM2A
IRS2,AIF1
MYOM2,CCDC22
DGAT2,CFAP43
ESRRBL1,FERMT1
CNPY1,LMCD1
C16orf87,TLR1
CHD6,DYDC2
SYT17,SMG1
FGF12,OPRM1
LCA5,HIST1H1D
SPP2,RBBP7
NEGR1,GDNF
AKAP11,POLR1A
NYX,KIAA0226L
AKAP7,COMMD6
C4orf19,FAM122C
ZNF471,SASH1
CYP2J2,ALDH3A1
CEACAM1,KCNK2
SOX2,RP11-382A20.3
SP8,CLDN18
ZFPM1,NTRK2
ULK2,CYP7B1
RGS10,SLC9B2
MTMR1,YAP1
MYO18A,LCN15
CXCR4,MCHR2
WDR44,NCOA7
HBS1L,POMGNT2
TDRD1,GPER1
SYPL1,KRBOX1
INCA1,ABCA9
RNF144B,SLC41A3
SLC24A2,TATDN2
TBC1D5,TMSB4X
FANCL,CMTM3
KDM4C,NUMA1
RCOR1,CLPS
RASL11B,TRPV5
TOX2,COL8A2
EIF2S2,TXNDC5
ROPN1L,MIPOL1
TMEM164,CTNNA2
UBQLN2,APP
SLCO5A1,SLC6A15
CSRP2,ETV6
HCCS,MED12
CLEC2B,FLJ11160
CCNY,CRMP1
MAP3K7,MAGED2
PDE4B,LPP
EPHX4,LRRC61
ARHGAP42,HUWE1
PUDP,STX7
ZNF510,MYH8
IFNK,CCDC40
PTEN,RP1L1
RASAL2,ADRA1A
NKX3-2,KAZN
GPR157,YWHAZ
SLC2A12,VPS37B
IGSF22,PPM1K
N4BP1,ZNF112
GLRX3,IRX4
MARC1,SLC37A2
PIK3CD,OSBPL9
NCOA3,NXN
FAM3C,MMP27
PDCD6IP,TRIM44
STARD3NL,TDE1
ACSF3,RBMX
NMNAT3,ITGB6
BPTF,CRISPLD2
CELA1,PTPMT1
GZMA,AOC3
COMTD1,MFSD7
POU6F2,SSUH2
LIPE,E2F7
ITGB6,RPL36A
EMP1,ADAMTSL1
ASUN,AUP1
BMP2K,STK26
SWAP70,DOCK1
METTL21A,CYP7A1
WAC,ETS2
UGGT1,MARCH10
IRG1,NFIA
WNT3,FAM53C
C1orf95,MSN
CTLA4,NUBP1
CBX2,AVPR1A
MCF2L,KLRK1
FFAR4,CELSR3
ZNF337,CEP104
FAM214A,EMD
FRMD4B,MVP
MARVELD3,C2orf57
SLC22A16,IQCA1
FBRSL1,TBC1D25
GALNT8,HOXA2
SLC25A30,CFAP221
PHACTR1,LMX1A
BAIAP2,WDR26
ABCA10,PENK
CHST2,SH2D4A
MYADM,SCRN1
TRAF3,CCNG1
MARCKS,FAT1
KIF26B,PPP1R12B
MMD,MED13L
RBM34,COL11A1
FAM92B,IKZF1
HSD17B12,LAMP3
SLC30A1,PTF1A
CA5A,PPP1R15A
OR2L13,WWP2
ZFAT,SMAD7
FAM76A,ZDHHC18
ATP6IP2,CXorf57
FGF3,ZNF704
TEX9,TCEAL3
SLC22A23,ALG5
ACTL9,MICB
REL,NEDD1
SLAMF6,AKR1D1
RAP1GAP,GAREM
PRKAG2,TRIM40
KCTD3,DMTF1
ENTHD1,CPM
TLR8,NEGR1
PRKACG,FNTB
NOTCH2,AFAP1L1
PSEN2,DPYD
EML6,GLCE
S1PR1,PRPH2
ECHDC3,CENPL
CEP112,C10orf128
AKIRIN2,HELZ
TMEM26,FGFBP1
TCL1B,HLF
SYNE3,SFRP1
APOLD1,HHAT
UGGT2,ANGPTL5
TOP1,TLX3
CPNE8,PHYHIPL
SFMBT2,TMTC1
ST3GAL1,SHC1
NUP160,ZC2HC1A
LZTS1,FOXI3
CYLD,KIF21A
PTK2B,FCHO2
DNMT3A,RPS6KA6
SIAH1,GNA14
GALNT10,NEK10
ADO,TADA2A
GNA12,INCA1
DEK,BAG3
CERS6,FSIP2
TRPS1,TRIM50
ZNF334,PLA2G5
AMMECR1,EDIL3
PDE4D,HIST1H2AL
SAMD5,SNX12
BRD3,PABPC4
FAM150A,NIF3L1
SMURF2,BHMT2
CRTAM,ADAMTS1
SLITRK5,PLOD2
B3GALT2,C22orf42
WDFY1,PAN3
IL2RB,RTN1
LMO4,NEFL
LRIG1,ARSE
STK17B,LCE2B
RAB12,KRTAP4-5
RBBP7,MYH1
TES,PAX6
GJA3,ARL14EP
CCDC148,METTL21A
MXI1,PCDH10
CNKSR3,LRRN1
SSR1,ADARB2
TUBB6,RRP7A
C14orf180,CORO1C
PTGER4,PIK3R6
LRRK1,C1orf112
TRIM13,ITGA4
CACNA1E,SLN
RAB44,GPANK1
MRPL39,TGIF1
TLN2,MAGI1
UGCG,AGR2
DGKD,CCR10
SYCP2L,SMS
ZMYND8,NDFIP1
CELF2,SEMA6D
FNDC1,TMEM150C
EXT1,FGD3
TNFRSF21,PSMA1
NPVF,FOXQ1
HCK,HNRNPR
MEX3C,KIAA2026
PPM1L,HOMER3
