PromEnh,PromOnly
NR1H3,TTC39C
CCDC82,CXorf38
KCNC4,PAGE1
SIPA1L2,AMPD3
DOC2B,BMI1
PRR5L,FGG
GSDMC,ATP2B2
C1orf21,TMEM158
CAPN5,ITIH2
DBH,TMEM255B
NDRG1,KCNMB1
MRPS27,TTLL1
ANKRD10,CAMP
C11orf58,MGST1
TMEM63C,FAM90A1
TNP1,IL1RL1
NUAK1,NRCAM
CFAP221,PCDHGA9
FRMD4A,SPRED3
SMOX,SPINK13
PTCD2,ASB9
ARMS2,DSIPI
PRMT8,TARM1
TSPAN15,SPARC
NFASC,AGMO
LYRM4,SERF2
SUSD6,KLHL24
RPS6KA1,MAGEB4
SLC45A3,VSTM2A
NDUFS3,SCOC
TAGAP,SAA2-SAA4
UBAC1,HAVCR2
MRPL37,LRRC61
TMEM155,ERGIC2
MTMR10,GRPR
CNTN2,DUSP9
IQSEC1,CXCL14
SAMD4A,FRMD4B
FGF3,ZFAND4
ERGIC1,FAM47A
METTL10,PLCH2
PDE4DIP,AP1S3
TACC1,SLC16A9
AATK,SMAD6
ADRBK2,TVP23B
LPP,ARSI
FAM175B,SLC36A2
RGCC,TREM1
PTGES2,USP5
TAB2,IGFL2
CPLX2,BSN
BCL2L14,ORM2
INSM1,ZNF329
TP53BP2,CASP4
TP53I11,DPEP3
DLEU7,VN1R1
RAB36,ARMC3
ARGLU1,PTPRH
SHANK2,CLEC2A
CNDP1,HAL
FAM134B,RBM47
ANK1,APOBEC1
PRKAG2,IFRD1
GDF7,ZNF665
SLC7A1,FAM107A
GPR20,PLCH1
TRIB2,ATF1
COPS8,KCNJ15
INHBB,BTBD19
CPQ,PMFBP1
PRSS38,CSF2RB
SMIM18,JMJD1C
RAP2A,PDHA1
PXDN,MYT1
SGK223,MAD2L2
OLFM1,KLHL30
SLC30A10,HILPDA
C21orf33,GCHFR
C9orf152,ADGRG1
CXCR2,KIAA1456
TNIK,DES
LZTS1,IL4
SEC14L4,HS3ST3A1
TTLL11,PDE4D
SYNE3,PPP1R13L
UBR4,SPPL2C
DNAI2,BEND7
ARL4C,DGKZ
LEMD1,FAM46D
CDC16,BHLHB9
WNT7B,ADGRL2
GPRC5B,MAFA
PSD3,IL4I1
C16orf74,AGR3
CBX8,USP46
STK24,MFAP2
MKI67,CCDC27
B3GNT6,HDAC6
GAS1,TMEM212
GALNT2,COL7A1
EVA1B,AQP9
OXER1,MAGEB3
ZNF510,INPP4B
ABHD12,SUV39H2
WNT7A,C10orf67
SLC12A8,ROS1
SLC37A2,SERPINE1
ABTB1,AMTN
TMEM81,PTF1A
CBLL1,SPRED2
NDUFA10,CHAT
EPN3,MAB21L2
MTSS1L,HES5
MROH5,SPRY4
PRRT4,PAX7
WFDC1,PTPRC
COL22A1,MAGEB16
CACNG1,AP3M1
TAF9,IL36RN
DNTTIP2,IL1R1
LAX1,ARL14
DLAT,NKAP
PSEN2,MGP
THADA,TRIM22
LRRC41,ZNF667
RPTOR,FAM71D
ARRB1,FN3K
ST3GAL4,PEF
EPN2,CCR3
JRKL,ERBB2
CHD9,OCIAD2
AZIN2,MRVI1
COL14A1,CX3CR1
CTIF,RILPL2
ANKRD46,VSIG2
PRM1,KIAA0226L
ZNF536,TNIP1
FAM50B,DIP2C
CPN2,CKMT2
POLR2M,ZNF71
DUSP1,ZNF583
AFAP1L2,RABGEF1
RHOB,COL6A3
FEM1B,ZNF717
FAM43B,PNPLA4
MATN1,MID1IP1
ITGB5,B3GNT5
PAPLN,FERMT1
FBLN2,C4orf51
NOTCH1,FER
BCDIN3D,TDRKH
GNRH2,SLC43A3
SARAF,OXSM
PPIE,COMMD4
KNSTRN,ARMC4
MAD1L1,TP53INP1
SLC25A51,PRKCG
NRIP1,ARTN
ACO2,HIF3A
CNTRL,FPR3
PLOD1,HIST1H2BI
SMAD3,TBPL2
PDLIM7,LY6D
RASGRF1,CSN3
C2orf91,NT5DC2
CARS,TRIML2
IGSF9B,LARP1
STRBP,CHAC1
HHAT,NXPE2
TMEM200C,KCNB1
SOCS7,RIC8A
TIAM1,ZNF415
SYN3,MGAM
FAM212B,CACNA2D3
SLC48A1,PXN
HRCT1,IL2RA
CRYBB1,LAMB2
CALML4,SUN3
TP73,STK25
ZSCAN20,C21orf62
DLGAP4,DUSP6
UHRF1BP1L,TIPIN
SAXO1,MSL3
NAT10,MAGEB10
TGFB2,PREX1
TENM4,CCDC7
STX8,HIST1H2BN
L1TD1,LRRC47
GSDMD,PIK3R3
CDH23,FXYD6-FXYD2
ZC3HC1,CLEC3B
PHYHIP,PRM1
C12orf66,TRIM5
PVRL1,FAM160A2
FANCC,SPHK1
SLC22A16,RAB20
ADSL,ZNF284
ZDHHC3,MYH4
C1GALT1,ZNF3
GCHFR,NPY
CHSY1,DEPP
LDLRAP1,ZNF596
UPF3A,HDAC9
TTC28,SSX1
MFAP4,C1QL3
PYGL,MLPH
C10orf54,C20orf173
MTSS1,PTPMT1
LHFPL4,LOC51705
ABR,MMP10
ZNF395,SLPI
MAB21L3,ZNF772
ST6GAL2,POU1F1
ITPK1,C6orf201
TXNRD3,RNF225
TPRA1,ADAM8
HSF2BP,FUT2
STMND1,TMEM190
SSR1,MPP7
SLC24A3,CCDC144A
SOCS3,SEPT14
ADAMTS15,BDKRB1
CYB5RL,FTL
LPIN3,SLC25A5
ACHE,TIMD4
SPSB1,ENTPD3
MATR3,ADGRG7
NTRK2,DDX60L
PLPP3,CYP2B6
C9orf50,PDE12
MCM3AP,COL20A1
ARHGEF3,UBQLN2
SOX6,TMEM27
CLN8,RUNX1T1
ITGAE,PROSER2
ADARB1,GGACT
DKK3,ANKRD36B
MAP3K11,OR13H1
NCAPH2,TMCC2
TXNDC2,ZNF37A
FLT3LG,ABHD15
ALDH3A1,AKR1C4
SLC41A2,SAT
TAF1D,RNF113B
MED26,LYPD5
RUSC1,BST2
RAB39B,ZNF260
