PromEnh,PromOnly
C17orf96,ADCY1
KIF26B,FOXD1
CROCC,MXRA7
INTS6,CTHRC1
HNF1B,PRDM8
COL18A1,HOXB6
FLJ11160,THBD
OTX2,FAM131B
HEG1,SPTSSB
ANO1,CDK18
EIF5AL1,YBX2
TANC1,B3GNT5
TMEM163,NOL3
ABR,CD24
GCNT2,TMEM173
LFNG,HOXB7
SCML1,ELAVL2
FBXL14,GPR68
ZCCHC2,CLDN3
AZIN2,MID2
MALT1,CDKN2C
AXIN2,DCLK2
FSCN1,SPSB1
GRIP2,ANKRD2
PSMB7,PLAUR
ADGRG1,MPG
AGPAT3,MYH14
STOML1,ETV5
DCLK1,NHLH2
TPM1,HIC1
CENPF,CBR3
MSX2,SYNPR
TUBGCP3,C14orf105
NT5DC3,FOSL2
AKAP1,SEMA5B
GRHL2,MYT1L
FAM189A1,HOXA10
PLD1,MLPH
ZNF362,BCL3
DIRAS2,MRC2
CDC16,DUSP5
MLPH,LARP1
MVB12B,ADCY2
ATP6V1B2,FAM129B
ACOXL,CEBPD
PMAIP1,FYTTD1
GUCA2B,CLDN9
RND3,FSCN1
SDC3,SLC30A4
KLF13,HEG1
COL1A1,OLFML2B
ZBTB43,RNASE11
PROSER2,DRD3
WLS,CPEB2
TGDS,TGFBRAP1
MSRA,ARHGEF28
ELFN2,LURAP1L
CDHR3,PDGFB
CHMP6,KIRREL
FBXO40,SORBS2
HSPA12A,PDE1C
PHLDB1,PAK7
CBX2,ENPP5
LIN28A,TRPM8
TRIM71,CDK6
ADAMTS5,BMP4
MBP,RUBCN
MATN1,NOS3
C1orf127,PTX3
OXTR,KCNRG
TLE3,PLA2G3
EBF1,CTNNA2
SETBP1,SNRPN
SLC25A26,IL5RA
CACNA2D4,LTBP3
BNIP3,HTR3A
MAP1LC3B2,CLDN1
DLK1,TGFB3
FOXD1,PRKAG2
LPP,SORL1
PWWP2B,EPHA4
IGFBPL1,CASP8
ARNTL,TNC
GPR157,MGAT5B
ZHX2,GPRC5A
LAMA1,SQRDL
RBM20,MEIS2
C16orf74,ANK2
CDKN2B,FAM217B
HDAC2,PDE10A
TRIM25,ICA1
SERTAD4,SLC7A6
HES3,CELF3
CYS1,CUEDC1
SULF1,PLEKHA2
FHOD3,FAM57B
MYT1L,PLCD3
ATXN1,SYN3
ADCY2,SLFN12
CLSTN2,ADORA1
PPFIA1,LMNA
RAPGEF5,TICAM1
IRX2,RBM24
GBX2,ESRRG
RBM34,ITGA3
RPH3AL,STK32B
C5orf38,SLC1A1
PIK3C2B,PHF21B
COL13A1,ADAM12
CGNL1,GH2
PRICKLE1,HLA-DRA
DIP2C,PRELP
SHQ1,PODXL
SIK1,MAP3K5
LAPTM5,IKBKG
TIAM2,DFNA5
COL4A2,KAZALD1
SGK223,DDX60L
PLXND1,IL13RA1
GALNT8,MYRF
DAPL1,CD151
TMEM170B,TBC1D9
ZFHX4,MOB3B
LY86,DENND1B
TRIM2,MECOM
SNX9,LIMS1
CHAMP1,PARP10
ZDHHC14,RABGAP1L
ARGLU1,GRTP1
NEURL1B,CNKSR3
COL4A1,OLFM3
UGGT1,ACOXL
CREB3L2,JPH2
PHACTR1,CDKN2B
TPO,DENND3
ZNF706,TCIRG1
PXYLP1,MSRB3
ACSL1,RNASE6
CARD11,SOX9
BASP1,PLEKHA6
CLVS1,CCDC85B
FGF19,PLEC
NDUFS5,CTNNAL1
FGF12,EGLN3
ARHGEF16,ZHX2
CTIF,FGF19
UNC5B,JUNB
CRYBB3,DNAH9
KIF12,SPECC1
C1orf94,TTLL6
LEKR1,LHFPL4
C10orf142,WLS
SNX19,CASZ1
CLDN23,MAP7
CA5A,EPS8L1
EGFR,IFNK
PCDH12,ESRP2
NEK6,SHISA3
ONECUT1,SMARCA2
SCHIP1,MFSD12
HAAO,ANXA4
PLXDC2,ACSBG1
NRN1,EDA
TP53BP2,ARHGAP10
ZEB2,SEPT11
BAIAP2,DCX
LGALS1,NAV2
PHLDA2,C15orf52
PLXNA4,BZRP
