PromEnh,PromOnly
OLFML2A,GPAT2
WNT5A,SEPP1
GJA1,TPD52
GPRC5A,FXYD6-FXYD2
TMEM30A,CHI3L1
KLHL25,VASN
UBE2E2,PPCDC
SLC22A23,PAH
STRBP,CLDN15
SLC25A15,LRRC4C
SCHIP1,ZBTB4
EDEM1,GARNL3
RREB1,AFAP1
PRL,TEK
PUM3,CCDC141
SH2B2,IGSF1
DDI1,ROBO2
PEAR1,DLG2
AGO2,HRH1
CDHR3,GTF2IRD2
NEK6,NRF1
POU2F1,VOPP1
AKT3,RGPD5
PRRT4,ALPK1
ARHGEF10,RBM43
TECTA,CNTN1
VIT,CCM2L
GCLM,TMEM9
MFHAS1,SLCO1C1
TMEM54,SEMA3D
TMEM170B,FANK1
BANP,B3GALT5
LRRC32,COL1A1
JUN,TMPRSS11D
PRKAG2,NPIPB9
CHST11,C1orf54
PLB1,SOWAHA
CD200,FAM110A
RAPGEF1,BST2
SIPA1L1,FUT8
ZSWIM6,CHN2
ADAMTS17,IMMP2L
ACACA,ALDH1A1
ASAP2,KRBA1
KDM4B,SMYD1
TNFRSF11A,SMTNL2
NFATC2,SLC30A2
PTTG2,C1orf94
PDGFB,INPP4B
CHMP6,LRRTM3
CGNL1,WIPF3
NR6A1,S100A9
CRYBA4,CTSK
HDAC2,ITSN1
CHD2,ABLIM1
POLR2M,ATG9B
PRSS55,PXN
MRC2,IMMP1L
MESDC2,OLFM3
OLFM3,FAM43A
RNF223,SMAD3
FOXP1,AMOTL1
SIK1,KLK6
B3GNT2,CEMIP
INSIG1,BRD1
GHSR,USP9X
NKX2-6,KIAA2022
PXYLP1,CRISPLD1
KIFC3,CRMP1
SLC19A1,CMC1
PARK7,XKR3
TMEM51,LY6D
ACTC,DEFB106A
SNX19,PTPRZ1
SOX1,MAPK10
ALDH1A3,SRPK2
MYT1L,RARG
SEMA3A,SACS
FAT1,GSN
PEMT,MAB21L3
DNTTIP2,PRSS23
TSPAN18,FAM104A
SERAC1,TMEM51
LYZL2,CYP7A1
NLRP3,VCY
MAML3,DEFA3
DNMT3B,DEFB105A
PXDC1,TMEM72
HS3ST4,MCTP1
KRT80,PKP3
PLXND1,NPEPL1
SASH1,BCHE
PREX1,CDY2A
KIT,JUNB
DLGAP1,SPTSSB
EIF2AK3,AFF3
SOX2,C6
RNF144A,RASGRF2
SLC22A16,SCGB3A2
CLCN4,RALGDS
C16orf74,MACROD2
CREB5,VCPKMT
DEF6,DEFA1B
SLC45A1,MGAT3
CUEDC1,CLRN1
MSX1,AVPR1A
GLRX3,ADGRD1
PLXNA1,TMEM184A
GRB10,CRIP2
CHCHD4,CCKBR
TAX1BP1,FXYD2
KLF10,OLFM2
CA5A,NPIPB5
RRP7A,RIC
MESDC1,SLIT3
WNT9B,NEB
MRPS23,APOLD1
SYT8,TMEM105
ACSM6,SLC18B1
IGF1R,RNF144B
POPDC2,FAM57B
PTF1A,ISPD
MRPS31,CDH10
FAM92B,TMPRSS11E
SAMD5,SALL2
CXCL12,WNT6
FAM124A,MYO1C
FSCN1,ANTXRL
GATA2,CHST3
CLDN14,ARHGEF5
CDC42,SPRTN
NINJ2,NFIA
CYP24A1,NCK1
CDH4,RUNX2
FANCC,MAGED4
PAPSS2,SLC38A9
PTGES,TCP11X2
TDRD3,GFRA1
CPVL,MAGED4B
C1orf21,WNT2
GPR143,SSC5D
FGD3,MOBP
KRR1,BCL7C
SPON2,UCMA
PRUNE2,TMEM265
ANGPTL1,TNNT1
CDCA7,FAR1
IGFBP7,PDE11A
C9orf50,TCEB3C
PRSS12,ARHGEF12
DCTD,APC2
RAB36,ZBTB20
ELF1,CDRT4
ARHGEF17,CRB1
PSCA,ADRA1B
ZNF366,TNC
AASS,FGGY
TMEM204,MYEF2
CSNK1G3,SPARCL1
SNX18,GUCA2A
PDK1,KCNQ1
TP53I11,CXCL5
ZNF518B,GAS2L1
MSH2,PLEKHN1
ZNF536,PRSS12
PIK3C2B,NDRG1
DNAJC15,HOXB2
BIRC7,NIPBL
GRAMD1B,NRXN3
ULK4,CMKLR1
MYOF,CLCN3
NTMT1,TRIM34
NDUFA12,METRN
CHSY1,JAZF1
MBNL2,PPFIBP2
RASA3,PABPC1L2B
MDM4,SSX2B
ZMAT4,PAQR5
HCRTR1,SPUVE
OXGR1,TFDP2
GUCA2B,IL1RN
SPTLC1,JOSD2
SLC18A2,PLEKHB1
ZMYND8,VSNL1
CHST3,PCDH7
ARHGEF10L,SOGA3
KATNAL1,TUBB3
GALNT1,ZNF552
PRMT8,CAMK1G
ZCCHC13,KDM4B
WDR49,PHLDA2
DAPL1,PTGIR
THADA,SLC7A6
SH2D4A,CACNA2D2
GABRA5,ANK3
IQGAP2,ACOT11
PROSC,FGFR2
GDF7,OPCML
FBXO16,FOLR1
LY6K,TENM3
KIAA1217,MMP10
TMEM43,MGLL
FIGN,CST7
SYNPO2,TMEM151B
BMPR2,POU6F2
CLVS1,HTRA3
USP6NL,KIAA1462
PREX2,MMP2
PRPF4B,TBX6
BMP7,TRIM46
USP46,ARHGDIB
ANK3,NFATC2
GCOM1,SLC24A2
MYZAP,MRO
TRIM24,PKIA
NACA2,EPS8L3
SPAG17,SLC2A12
INSC,CTAGE4
CCDC102A,DUS1L
ATP2B1,RBMY1J
LY6E,BDNF
AKIRIN1,HIST1H2BE
ITGB1BP1,DOPEY2
TGM1,TMEM119
GPR26,PTPRE
CPSF3,MAGEA2B
FAM43A,GREB1
TGFBR2,CTSB
ADRA2C,LYPD6B
HABP2,DCX
EN1,HNRNPK
RUNX1T1,RNF113B
OXER1,PRAMEF14
TM4SF18,AMY1A
SH3BP5,AMY1C
MAP2,PPIAL4A
SAP130,NBPF11
ENKUR,FAM25G
FFAR4,GOLGA8A
SMCO4,GOLGA8B
ZAP70,GOLGA6B
EPSTI1,GOLGA6L10
PLXDC2,GOLGA6L9
OSBPL5,RPS17
BNC1,PLA2G10
CEP83,NPIPB4
GALNT8,SLX1B
SLC2A12,BOLA2
TMEM132D,SULT1A3
NAP1L1,TP53TG3B
DYNLT1,TBC1D3F
LGALS9,LRRC37A2
PEF,NSF
FGFR2,SERF1B
NPAS2,SERF1A
ITGA6,SMN1
SLX4IP,C4A
CYP19A1,C4B
LRRC4,CTAGE8
BCAR3,MROH1
N4BP1,SCX
CRTAM,SPATA31A5
C11orf63,SPATA31D3
C8orf74,GAGE13
POMP,GAGE12F
TCF4,GAGE12H
JPH2,GAGE1
ELOVL6,XAGE1A
CDC16,XAGE1B
TNK2,CT47A9
FGD4,CT47A7
MGST2,CT47A2
HPCA,CT45A7
HESX1,SPANXB1
TDGF1,PNMA6A
CSRP2,HSFY1
EMP1,RBMY1A1
TMEM189-UBE2V1,RBMY1D
MAP1LC3B2,RBMY1E
ADGRG5,RBMY1F
ARHGAP15,DAZ2
CANT1,BPY2B
CDH8,DAZ3
CEBPD,C9orf131
ATP6IP2,GRIN2A
RGMA,DHRS2
FBXW7,IFITM5
PTPN3,SPANXA2
ODF1,SAMD13
TNFRSF19,MSMO1
IRX3,PIK3CA
PWWP2B,PRR20E
THRB,NPIPA7
ANK2,RILP
ADSL,GRPR
TRIQK,SSX2
PSA1,NLGN4X
ANKRD10,UBE2L3
APP,CUEDC1
ACOX3,CHRNA4
SLC9C1,CTAGE6
ATXN7L1,CBWD5
SUSD1,AP5B1
INHBA,NRG1
PTPRM,MBNL1
HAND1,HSFY2
DLK1,TRDN
TMEM189,DLG3
GRIP2,LRRC70
DPH6,SH2D7
SLC7A4,MBD3L5
PRKCA,PF4
COX7A2,BDKRB2
MYH2,C2CD2
DRICH1,MACC1
C1orf95,RPS6KA4
DDX1,SCN1A
SRCIN1,MEST
CYP26B1,GOLGA6L4
H6PD,CPNE2
NPY4R,TMPRSS12
GLIS3,SEMG1
MYL7,DLX3
BMP2K,HRCT1
CXCR6,RPRD1A
PIPOX,SGK223
LEP,NPIPB6
MKI67,EPHB6
SGMS1,NAT14
RYR2,SRP68
SLC25A18,FNDC3A
FAM114A2,POTEB3
