TNS3,SGPP2
C4orf45,FGF20
ZCCHC5,DAW1
ZNF860,COL4A3
TLE1,GPM6A
TMEM163,KRT15
C1orf95,CHL1
TMEM200C,LRRC49
ZNF827,CNTN1
ZBED1,ZNF454
TRPM1,GRIK3
UBC,AQP1
DNAJB6,ZPBP2
TRAF6,ZCCHC12
SLC24A2,GALNT13
ANKRD10,TUSC3
GRHPR,NEUROD4
SP8,CTXN3
TTC7B,CARD14
CALML4,AADAT
POU3F3,LAMB3
FGF23,PAPPA2
CHD9,HTR1E
RPS4Y2,CHST9
FRG2C,FAM78B
OGFRL1,SLC26A7
RRP7A,STOX2
NEK7,ALX1
CRACR2A,CTTNBP2
CHAMP1,SPRR2D
TEC,DDX25
SPATA13,ARHGAP8
IGSF22,LRRC4C
T,GRID2
NOX3,IGFBP3
RAB36,KCNH5
AHR,TLR10
KLF4,DPP10
RASGEF1B,CLEC4C
ADAM10,ECE2
SESN3,GJB3
EMB,CCT8L2
UBE2E2,DRP2
OTULIN,NCR2
CLN6,MUC6
KNS2,XKR9
KLF13,ERC2
PRKAG2,CADM2
ABL2,SLC4A10
GOLGA8B,BOLL
SH2D4B,PCDHA12
ZFP37,GH2
NR4A3,HELZ2
CAMK2D,SDPR
SSR1,MPDZ
HLX,C5orf49
C17orf99,TPD52
LRRC31,SLC22A7
TVP23A,SLC12A1
PRKCQ,KCNG2
IL12A,SLC5A12
GRP,SLC6A11
MVB12B,FAM127C
FAM3C,NDN
EPB41L4A,NKX2-8
UCK2,ASTN2
ZCCHC24,LARP1
KBTBD11,OLFM3
SIK3,ALS2CR11
SYNJ2,DEFB116
PTPRJ,DZIP1
MYO3A,PRDM5
PMEPA1,CHN2
RTP5,ZNF99
CUX1,RPRD1A
FRMD4B,FOXI2
PRKACG,MAG
CARD11,NRG1
SGSM3,NWD1
SCARB1,FAM132A
HRCT1,TMCO2
PRDM4,RXRG
MSGN1,SEMA3F
MTHFD1L,ANKRD30B
ERICH1,GRIK4
RAPGEF6,WTIP
TBC1D7,HCN1
L3MBTL4,PAK3
NDUFAF6,SGCD
BANK1,SYCE1
BCOR,DGKK
TBC1D14,PCSK1
RBMS1,TAGLN
PSA1,TCEAL6
