PromEnh,PromOnly
ANKRD60,ZNF492
SEPN1,UACA
RAB19,TPSB2
CARM1,PIK3R3
KRTAP10-12,ZNF582
MYH9,FMOD
INTS8,NEFM
NCKAP5,PTPRO
SARDH,STEAP3
POFUT2,PLIN3
CHD9,SERPINB2
ST3GAL4,CNTN3
MED9,TAC4
TMCC2,GLIS1
C14orf180,NEUROD4
MKRN1,ZNF584
SH3PXD2A,CIPC
PDE4B,SLC6A1
LSM14B,EPHB4
RPS6KB1,ZC3H4
PCDHAC1,AKNAD1
UBR4,SMG9
ZBTB5,SUN1
ZCCHC14,GALNT14
YY1,PFKP
DNAI2,OR52N2
INSM1,SPRY4
PPP1CB,C10orf53
WDR60,ZNF628
ORM1,MMP14
KAZN,HBD
PRICKLE4,C1orf54
CLEC2L,CCDC3
RER1,SLCO1B3
SLC35D2,UCN2
KLHL11,MACC1
GNAT1,ADAMTS18
PDE2A,ZFP36
NSUN4,LSM14A
CD82,SPRY1
DOK4,C1orf106
KLHL25,ANXA1
SDC3,ACTN1
ACYP2,NRXN1
NKD1,ZMYND11
WDR64,PODNL1
B9D1,NEK10
SRBD1,ARHGEF25
HRH1,OVCH2
PECI,HSPBP1
GLRX5,COMMD3-BMI1
VAV2,HES5
PLPP3,NKAIN1
TMTC4,GABRA3
FLJ11160,DEFB131
MOSPD1,C14orf169
CPPED1,MAGEL2
FBRSL1,SERPINH1
PPARD,FAIM2
CYB5RL,KCNE4
ZNF511,ACBD5
A2M,ARHGAP12
UCK1,SLC4A4
ARRDC5,TMSB15A
RPL24,SP100
EDEM3,EVA1C
MAP1LC3B,DEFA5
PAPOLG,RNF112
PTK2B,ERCC1
LARGE,SIX5
DNAJB6,LEMD2
MPRIP,MYL12A
AFAP1L1,ZNF497
PTGES,ACACB
CCNY,FCAR
MTSS1,PSPH
GPX7,CCT6A
LAPTM5,ISG20
CRYBA1,ARSE
PSRC1,DNAJA4
AGPAT4,GSTA2
CLLU1,BF
SLC50A1,HABP2
SPARC,CYP27B1
FAM167A,CBWD2
ZFYVE21,SEPT9
KLF13,ANO3
SLC45A3,NCKAP5
DAND5,MICAL2
SSBP3,ZNF671
LRRC8B,ACOT2
TBC1D7,MYL9
SMP1,HECW2
AKIRIN1,KIAA1324L
ZNF532,AMY2A
HACD2,XKR8
FXYD2,SCRT1
ARRDC1,TICAM1
CSNK1G2,DDIT4L
SUB1,ARSD
LRRC15,ERGIC2
ST3GAL1,ZNF488
PIK3R1,SLITRK2
RAB12,PLAUR
PAPD4,ALPK1
LOXL4,ZNF71
NDUFA10,FAM69A
SPATA2,GBP6
FBXO31,LDB3
SETX,COMMD3
AHCYL1,KCNN4
SOX4,CLIP1
ZBTB24,TIP47
MED26,IL4I1
CXCR4,SH3TC2
TBXAS1,NOMO1
C14orf80,IPO8
NXNL2,SGMS2
CCSAP,PPP1R15B
STC2,OR51B6
ATXN10,GLI3
CLN8,TAGLN2
XPNPEP1,G6PC2
SEMA4B,ZNF404
KCTD21,PPP4R3A
MATN1,MMP16
EPHA4,CELA3A
ZNF687,H2AFY2
PROSC,HGD
EXTL3,SATB1
STX18,CRMP1
SORCS2,AMT
PLPP7,DLGAP3
MAPRE1,ZNF580
DTNB,RAB3C
NOTCH1,SHANK2
BECN1,ZNF837
SYK,SMG1
CKLFSF7,UGT1A9
ZBTB34,ZBTB1
GTF3C1,AKAP2
FRMPD1,NEUROD1
SLC25A11,HNF4G
PSG1,SYNGR1
SLC20A2,AMY2B
MTMR2,CLEC6A
XRCC3,LRRC56
VASH1,CNOT3
CNDP1,ZNF787
TBX4,DGKZ
NBEAL2,DNAJB1
KIAA1033,CHIA
MBP,TMPRSS11A
SC5D,GDNF
HAS3,FOSB
DLG2,MAP3K8
VIPR2,TRIM38
MXI1,PLCD1
UNC5B,SPSB4
RGS3,ZBTB25
PSAP,SEC61A2
SGK223,CRTAC1
FAM49A,RUNDC3A
SLC9A8,SYN3
C8orf74,SLC27A1
RFTN1,LRRC4
GFER,COPEB
ZNF704,FXYD1
CES1,RRAS
SOX7,OLFM2
DDR2,SLAIN1
LEPROTL1,CAMK1D
SIRPA,ZNF331
PELI1,ANGPTL4
FOXE3,SSC5D
MYT1L,ZNF230
CEBPD,LSMEM1
TSPAN5,OAS1
ALG2,TGFB3
NEK5,P3H3
PTN,NOX1
DGKI,OMG
MATR3,MMP19
HTT,RFPL4AL1
TRMT112,LHFPL3
SERPINH1,CGREF1
SLC22A16,ZC4H2
PIK3C2B,PDCL2
TIMMDC1,BET1L
ITPR1,KCNH1
C10orf105,NK4
ARPC4,ZNF134
CLUL1,KCNH7
NAA35,FGA
ATP2B2,NLRP1
AATK,MYH4
TLDC1,IL4
RAP1GAP,ASXL3
RNF216,RARG
HHATL,SLC17A6
IMPA1,CACNG2
FOXO1,RBP3
THRB,OR52K2
CDH4,ZBTB45
RPS6KA3,ARPP21
TBC1D14,LAMA2
GDF7,CXCL11
NFIB,TRHDE
SMYD5,DUSP4
LAMA5,CTTNBP2
RAB4A,PDE2A
PRR5L,ZNF98
DAP,LRRC25
B4GALT2,NKX2-5
SLC35F5,RPL28
FAM19A5,OR4K2
C17orf75,SLC9A3
HPCAL1,SPEM1
TAF4,FREM1
CCDC88C,NOS1
OTOS,PPP1R37
NIPSNAP3A,BACE1
COL13A1,ARHGEF19
CRNKL1,SP8
SALL1,MYD88
THAP4,G0S2
EPHB3,SMAD9
ESYT2,ADGRA1
C1QTNF4,GYPE
ANKRD9,CHL1
FBXW8,USP43
FOXC1,TMEM144
DNLZ,CRIP1
SMURF2,SLC13A5
CNTN2,SMIM18
DPYSL2,KLHL26
KIAA0513,ASIC4
SCIN,PDE11A
PPP2R2C,RPS6KA6
RORA,USP17L2
PKIG,ZNF581
FTSJ2,POU1F1
GCLM,RARRES2
MBOAT1,SYNPO2
TET1,CSN1S1
FAM109A,SMTN
HES4,MYBPH
HUNK,ROBO4
KCNB1,SLC7A10
GYG,XKR4
MUC20,TECRL
CNFN,CPQ
GRID1,APLNR
CCDC33,ONECUT2
PCIF1,MALRD1
NFIX,FAM171A1
SLC39A3,VWA3A
RASD1,NAA11
ACVR1B,FAM120B
TNK2,MDM4
TRMT2B,NTRK1
ZNF536,TMEM105
CTTN,BLVRB
MRPL10,MCF2
ORM2,WDR72
HLA-C,GLRA3
CNKSR1,DFNA5
ARMCX5,PFN2
CNTFR,SAFB2
IKBKE,KCNC2
TACR2,TMPRSS11F
FAM188B,ZNF835
CLN6,ZNF667
WBSCR28,AATK
DRC3,LPAR4
ADCY6,INA
SLC1A3,KRT6C
SLC6A19,POLR2F
SOCS7,TRIM74
HEXIM1,GPRIN2
HEG1,ZNF8
ATG10,TEAD2
TOMM20,GPR19
PITRM1,ZNF596
JMJD4,AGR3
NDUFC2-KCTD14,ADCYAP1
ZC3H8,ZNF416
KIF13B,FCGRT
RNFT2,INMT
SLC25A42,NAPA
CPNE5,METTL7B
TSPAN18,KIR3DL1
PIAS4,ZNF471
PLB1,QPCTL
PARVA,COL10A1
SIK1,OPTC
CYP20A1,KRTAP3-2
FBXL22,ARHGEF28
GAS6,MED25
SLC39A11,PPP5D1
MTSS1L,HIATL1
SACS,RAP1GAP
EPM2A,ZNF320
TIFAB,SP140L
BAHCC1,XIRP2
SLC7A4,SLC15A3
HTRA1,NOV
PI4KA,MUC7
ECEL1,GATAD2A
KY,CSN3
GGT1,DFNB31
CAB39L,IRF2BP1
RBM19,PAPLN
NUAK1,ACP5
PEMT,IRF7
ARL8B,USP2
ITCH,SUSD6
SEMA5A,BTBD17
SDHB,CSMD2
HEATR6,CERKL
CNIH3,CFB
PID1,GOLGA5
SPOCK2,DNM3
ARRB1,ARHGAP21
EHMT1,C14orf159
PSEN2,TRAM1L1
DNTTIP2,MKNK2
WISP1,F9
TBC1D2B,ITPKC
LAX1,KCNB2
HMHB1,ZNF761
C10orf54,BLVRA
TP53BP2,SLIT1
RFPL4B,GPC3
CDH23,SIRPG
INHBB,FAM208B
MICALCL,BEND7
CANT1,ACOT7
SCAF4,MTF2
TCOF1,NR1H4
NOD1,RPRM
PMEPA1,MANEAL
TNFRSF25,EFEMP2
SPATA13,FBL
C10orf90,MCC
MERTK,DKKL1
LRRC4B,PPM1M
COMMD9,FAM107A
EPHB1,ACBD7
DIO3,DMPK
KDELR2,ADAM33
MAP1LC3A,LCE1E
SLFNL1,SEPHS1
ENG,TOMM20L
TBX21,PRODH
GRP,IKZF1
SMOX,IL2
CDK18,PTPN14
ZNF341,LCTL
NR4A1,CYP2B6
CYFIP1,GLTSCR2
LRP2,ZNF772
ATP11A,SLC24A4
TEX29,GPIHBP1
TSPAN3,PPP6R1
ZNF516,IL32
HSPC051,KCNJ15
NAT6,NPEPPS
MGLL,ZNF713
TMEM178B,ALG1L2
TNFRSF21,MTAP
HRCT1,ZNF776
BEGAIN,PIK3C2G
SLC38A10,TTLL1
C5AR2,SALL3
ACSL1,TNFSF18
CIITA,SHISA2
MTMR1,CAV1
MRPS28,ZNF540
FOXH1,ZNF17
FADS2,LRRC8E
ALDH1L1,KCNE1
RNF223,FABP6
DOPEY2,CLEC5A
TNFSF13B,DPP10
USP15,CDHR1
GAP43,B3GNT2
SOGA1,PPP1R15A
PALB2,NTS
RGL4,GPC6
CSE1L,NOD2
GRIK4,PHYH
PPP3CC,SCN2A
C5orf67,RGS7
KALRN,BRSK2
SCML4,MLH3
FAM76A,CMYA5
SH2D4A,OLIG1
SPRY2,CASC10
NOL11,FAM25A
PLPP1,BASP1
NUDT14,IL1R1
CORO1C,ZNF117
PAN2,NMT2
AGPAT5,PRSS1
SSH1,LDLR
SEC11C,TTC12
ASF1A,LRTM2
VAC14,FLT3LG
TXNDC5,KIF18B
CEP131,CBLN2
COPEB,TMEM100
KRTAP1-1,MIPOL1
TMEM230,SPPL2C
FOXP4,CHMP2A
CTCFL,LINGO1
FGF3,RPS5
ERGIC1,HOXB4
NRAP,ADAM22
SRRM1,CNTNAP4
CRYBB1,SCAF1
NUDT1,TACC2
COLGALT2,SSH2
CLPTM1L,DLL1
IGF1,PDZRN3
SPECC1L-ADORA2A,PKD1L2
C21orf33,PLEC
ARRDC4,SAFB
ADA,ZFYVE1
CELF2,NXPE2
SLC38A9,PSD
SPNS2,MDK
TRPM7,MBOAT7
RPH3AL,DICER1
ARHGEF28,RNF225
POMP,SMOX
CHRNA2,AMPD3
SSRP1,SLPI
ZDHHC14,FBXO46
CRISPLD2,SEZ6L
TMEM132A,BBOX1
TNR,CSRNP1
PTGR1,TRIM56
SPATA32,AKT1S1
ATP2B4,DHX32
PBX3,ZNF304
POMC,GIF
BRD9,TRIML1
ATXN7L1,ZNF444
WDR26,LSAMP
SERTAD2,ZNF180
ADGRL3,HP
TGFBR1,POMZP3
RGMA,RDH5
IDH2,TNFSF14
HSF2BP,ADCK4
ATP5O,DBP
SULF1,ARHGAP22
PTRF,CACNG8
C4orf51,TJAP1
SEC61G,KIAA1217
MICAL3,NEGR1
BLK,SLC16A3
SERPINB1,PITRM1
RAB6A,FAM155B
LRRC8D,TMEFF2
ITGA3,CRACC
TCTEX1D1,CBR1
B3GNT6,TMEM101
PYGL,ARTN
ABCD2,ZC2HC1C
AKNA,UBQLN3
OPCML,SEMA3B
MAP1LC3B2,CASP8
IAH1,TOLLIP
PARP4,ILK
TMEM179,C14orf79
LPCAT1,MASTL
ALOX5AP,MYC
DDX27,CD109
PLA2R1,EML2
MORN1,IFT43
ATF3,FSHR
SEMA3C,JPH3
PDXK,SCRN1
COG6,ATF5
TMEM107,ATHL1
FAM43B,LZTFL1
C1orf100,ACYP1
FANCA,PPP1R12C
JAG2,FAM110A
CDS2,SYT4
TERT,CBLN1
EAPP,RIT2
MBNL2,OSMR
PXDC1,APOL3
C4orf27,ZAN
UBA3,LEF1
ADRA2B,DSCAML1
PTGES3L,MT1M
RAB11A,DHTKD1
PYGB,SYMPK
CASP7,EPS15L1
ENHO,MGAT1
ELF3,CRHR1
SYNGR1,BDKRB2
CEP63,PVRL2
CDKN1B,EFCAB5
ALDH4A1,ELMSAN1
PLEKHA2,CNN2
CLCN4,TRIM6-TRIM34
C16orf87,PRPF31
CSNK1G3,TATDN1
WDFY2,SGCD
IL20RA,ZNF248
GKAP1,GNB3
RAP2A,CHRM2
LGALS3BP,TMEM238
RNASEH2B,KDM5D
DBH,KIAA1522
CREB5,PLEKHD1
ADAM17,PDC
ITPK1,TMEM220
TMEM37,EPS8L1
CHST15,CYP3A7
VASN,RAB17
MORC3,CA11
C1orf21,PDDC1
SLC45A4,SCOC
TCTN1,WARS
SGOL1,SLC35E1
ZNF207,GPR68
TFF1,GGN
STK32B,PIANP
CPT2,MCF2L2
NRP2,UMODL1
KCNIP1,B3GNT8
RARA,IQGAP2
MPP5,IFRD1
APITD1-CORT,MAD2L2
SCRN1,DDX60L
PKDCC,ANXA2
NACC2,GPX8
PLXNC1,ADCY4
FXYD6-FXYD2,IYD
EPB41L1,OR13C5
RRP1B,CELF4
RASL10A,PROL1
ATP13A3,PPFIA3
SERHL2,ARAP1
C19orf52,YIPF7
EVA1B,RPS9
PDK1,ALDH3B1
TNRC6C,LSP1
CYGB,U2AF1L4
TNFAIP8L2,CTSZ
GPR27,ANGPTL1
TM4SF4,FAM46B
BPTF,FAM109B
PIGB,ZFP28
TTLL10,JMJD1C
C17orf96,AP3M1
B4GALT3,LRFN5
SRR,SDPR
NID1,KIR2DL3
SEC61B,EGLN2
SIL1,GUCY2D
C12orf66,ARHGAP11A
