PromEnh,PromOnly
RNF220,MCFD2
OTULIN,TTC9
PSMG4,PHKG1
ATXN1,ARG2
TXNIP,TFEC
BICD1,IGDCC4
CKAP4,LEMD2
NDUFA10,CELA2B
RAB36,TMEM133
NAA20,ADCY4
DAND5,ARSE
SLC7A1,CGB
TMEM105,COL10A1
LAPTM4A,OR51B6
ZSCAN20,FPR1
TCF7,GIMAP8
LZTS1,PDPR
APMAP,C6
SGK223,TREML2
HAAO,C10orf105
NDE1,OR1C1
IQSEC1,OR52N2
SERINC5,SLC6A1
ANKRD60,ZNF713
CDH11,PHC2
CDHR3,KRTAP19-5
POFUT2,PTGR2
DLK1,CGB2
INHBB,TPSB2
GRAMD1C,THEM5
PRKAG2,SIRPB1
ANKRD46,GPATCH2L
RRP1,IL8
KIAA1033,TCIRG1
ZFYVE21,PPP1R1B
MDM4,TTLL10
C21orf2,HIMAP4
FAM43B,KRTAP9-8
FAM76A,DACT2
MGST3,LSAMP
MYO7A,RGS20
FAM92B,KRTAP7-1
NPTX2,SYK
SHANK2,HBG2
SENP1,SLC39A9
FBXO7,KLRC3
TXNDC2,S100A9
ARPC2,TRAF3IP3
SSBP3,LACRT
MAP4K4,ABCG1
C11orf96,CX3CR1
PTK2B,PPP2R3C
GSG1L,ACER2
SHROOM1,MAGEA1
MAPKAPK2,ERH
GRID1,SLA
PC,SIGLEC8
PUM2,CCT6A
FMNL1,AURKC
PTGR1,C14orf79
PLCD1,ACSL5
EIF2S2,CRYAA
TRABD2B,KY
KY,CLEC6A
KIF3C,MACC1
COA5,TRPM3
MRGPRF,SAMD15
CCNY,TMED8
CRYBA4,SEMA5B
FAM19A5,RASGRF1
SYTL3,TNIP3
FNDC3A,C14orf105
STK32C,CLEC5A
ZNF563,NLRC4
UPF3A,HRH1
KHDRBS1,TUBA3E
CEBPD,CEP128
GALNT10,CRIP2
ORM2,CGB8
PSTPIP1,SERPINA6
DKK3,CA14
NDUFV3,ADORA3
SOWAHD,ARHGEF16
CTIF,LIPE
UBL3,NUPR1L
GSDMC,OXCT2
PSEN2,KCNIP3
COBLL1,MMP10
MRPL33,IL10
USP47,C1orf100
RNF216,MS4A4A
CHSY1,RAB21
SPHAR,SCNN1A
PYGB,OR2J2
SEMA5A,POM121C
SPESP1,TCHH
WAPL,CTNND1
C20orf85,ARHGAP25
RASD1,TAF1L
PLXNA4,ACY3
TRIM23,FES
FLJ11160,HCLS1
NFIA,CDK11A
RPS21,ARHGAP24
SOX2,NCOR1
ATOH8,CYP1B1
TTC12,ACMSD
HYDIN,LCE2C
AMN,LCP2
ORAI3,CSMD3
IGSF9B,DPPA2
TNR,SIGLEC9
PELI2,CD69
PLPP3,IL18BP
ARL6IP6,CCR2
PDE2A,FAM129C
RBBP8,AASDH
LEFTY2,CHRNA9
GLIS1,PEF
ZFPM1,TENM3
TLE1,LTBR
SH3TC1,LILRB1
WWC2,KIAA0391
NRIP1,AQP9
TCF12,BCAR1
TLN2,AHSA1
KIAA2013,MYL12A
TRAF3IP2,KYNU
GNAZ,H2BFWT
GNA11,HIATL1
CNEP1R1,IL1R1
SOX4,ZBTB34
CSTB,CREM
KNDC1,ZC2HC1C
SORCS2,ANKRD6
ACAA2,C1S
CFAP20,CATSPER2
NDRG1,RNASE3
HEG1,P2RX7
OGFOD1,CCRL2
PRMT8,C20orf141
LBR,UPP1
VAMP3,CNDP1
SPRED2,ADCY7
CHRNA6,TCL1A
PIM3,GDA
CELF4,THRA
DST,CASP5
NT5DC2,RASA4B
DRC3,TRIM2
DTNBP1,TECPR2
SKI,PSMC6
UCK1,GSG1L
JRKL,PIGH
XRCC3,DEFB119
PWP2,ASIC4
ST3GAL1,TTBK1
RAB44,JDP2
YWHAH,LILRB4
CRABP2,KCNE1
ANKRD37,CCNF
FRMD5,ZNF540
PSAP,SUV39H1
C5orf47,NFASC
OMP,CCDC144NL
ZNF224,IL21R
COLGALT2,FAM14A
SIDT2,ATP2B2
COG6,NOXRED1
NFAM1,PPBP
CPEB4,FUT9
ITGB6,RPL10L
C16orf86,HAVCR2
PTPRG,TRIM77
PROC,MEPE
SLC28A3,KRTAP26-1
ANP32A,GFAP
C2orf61,PLCZ1
SOX8,MPEG1
MYOM2,PABPC3
CYP19A1,CPO
MRPL37,PLEC
P5,RAB27A
RGS3,ZNF813
ALDH4A1,SLC5A8
PVRL1,IQGAP2
RAB1A,NBPF1
SLC6A6,CD99L2
YY1,TLCD1
SKA3,SPINK2
CA4,PSG5
ADAMTS8,ZNF275
TANC1,OCIAD2
REEP2,MLH3
PEPD,NDST3
ZFP41,MALRD1
ADARB1,SLCO1A2
MAGEB4,DEC1
DUSP22,RABL2A
DEGS2,PLD4
FAM69B,ASPDH
C11orf58,IL10RA
CD82,TJAP1
REV3L,PTGDR
PDP1,FXYD6-FXYD2
ITGB8,A1CF
LCLAT1,NRXN3
NAV1,ADGRG1
SLF2,IL33
RGS9,KIR3DL2
RORC,UGT2A1
RIPK4,TEX28
GABARAPL2,AKAP2
NCKAP5,OMD
AUNIP,GALC
RHD,DCAF8L2
ZDHHC13,LYZL2
SFRS8,CD14
ZNF207,ZNF596
KLHDC7A,GPR65
MAGEF1,SERPINA11
DNAJB6,VNN2
PHLPP1,TRIM22
STAC3,MID1
LGALS3BP,OPCML
TBC1D16,RGS14
ZDHHC7,PTPRH
MCM5,CASP1
COPS8,GKAP1
TNFRSF13B,METTL17
DIRAS3,BTBD6
USP15,CDK18
KIAA0513,DEFB121
CCBL2,GLIPR1
HMP19,ADH6
MICALCL,SLC34A2
MATN2,SIGLEC7
SIPA1L2,RBM25
FAM167A,AKR1C4
GRN,NUTM2G
BEND3,TBC1D31
ADAMTS17,FXYD3
PPP2R2B,VRTN
SAMHD1,S100Z
CUBN,TRAF3IP2
INSM1,NUMA1
UMPS,ERICH2
ZC3HAV1L,ACYP1
GPR78,ACTR3C
TRMT44,CST8
FEZ1,TREM1
WLS,CLEC4D
TRIO,HDAC9
SETD5,EVL
SLC12A7,HDAC11
JAM3,PALLD
BMPER,BDKRB2
CLCN4,FBXO46
CADM1,VIPAS39
FCN3,HAGHL
HTRA1,SYT12
NCK2,LSR
GPR20,PRKACB
IL5RA,TLR2
ITGA11,TMEM31
AATK,NPEPPS
TUB,GIMAP6
SNX9,CSNK1G1
KIZ,KLHDC8A
RNF34,VPS37C
FOXE3,ARRB1
POLR2I,ATXN7
SEPN1,LIPF
HINT3,HOXB13
TMEM91,FCAR
SLA,SFTPD
DHRS12,SSR4
TTC7A,FAM198B
CAMSAP1,TVP23C
PRKAA2,TVP23C-CDRT4
ZBTB45,ANKRD30A
NDUFS5,NRCAM
AKAP6,RNF144A
SPRTN,RARG
CYP46A1,CCL2
TNIK,MED6
ROR2,MATN4
KIF26B,LTB4R2
KCND3,TRIM38
BUD13,TDRD1
DDR2,PPEF2
DNMT3A,RFPL4AL1
DOLPP1,TEX11
MYT1L,BTBD11
KIF23,CASS4
SGOL1,AICDA
UCN,NRN1L
ATP2A2,PROM1
RPTOR,MS4A7
MED9,IRF2BPL
CYB5RL,KIAA0226L
TUBA8,SLAIN1
GFOD1,CDK11B
ZEB2,TMEM165
JUN,S100A12
RAP2A,PSMG4
NUAK1,TNR
PCYT2,ZNF410
SNX18,SPATC1
HAS2,KCNE3
MYCN,DNAI2
NSUN4,TRAK1
CRHR1,PTGER2
SEPT11,AIM2
CIB3,ELMSAN1
CPN2,ITGB2
MYLK,ILDR1
ZNF706,ITGAM
ERGIC1,RASSF8
RBM19,NCAN
KCNIP1,MDK
CXCR2,SPINK13
FNIP2,SLC25A29
C21orf33,SLAMF8
NAKAP95,PTPN12
DCP1B,GPX2
CPSF5,ABR
KIAA1191,PLEKHG4
KDM4D,ST20
GPANK1,CD86
CNOT1,AF1Q
CNIH3,CCND1
SEPT10,CCM2
CDIPT,TNFRSF6B
MAL,NKG7
ALOX5AP,MMP12
NACAD,LRRTM1
LEPROTL1,TMEM229B
ZNF704,PCDHAC2
MTSS1L,ERVW-1
C8orf46,IL18RAP
ADAMTS9,SETD3
