PromEnh,PromOnly
PLXNA4,PGA5
NENF,WDR20
ANP32A,FIZ1
PARD3B,SNX30
THUMPD2,NECAB3
IRX2,CENPN
PAQR3,DOCK10
FBXL7,AFF1
CSNK2A3,NAA50
TCF4,LPXN
ZNF648,CMC2
TCF7L2,TRIM16L
KBTBD11,ZNF483
TMCC2,KCNJ9
CLIC4,MTIF3
ARHGAP12,TSC22
B3GAT1,TBC1D5
AK5,M6PR
PXYLP1,GNAI1
CAPRIN1,FRG2B
CPN2,SLC13A3
PVRL1,GRAP
MTMR10,PPM1K
UBE2E2,SFR1
NAV1,PRTFDC1
AKAP11,RNF167
CCDC82,POLR2I
ZFAND3,ZNF219
EDN2,ZNF446
TBC1D1,SLC25A11
TTC12,RUSC2
TSC22D1,TPGS1
TM2D3,EPB41L1
UNC5B,KLHL21
ARHGAP42,RGPD4
MAP6D1,OR2T34
LEP,RFFL
MYBPHL,CHADL
ERCC4,LMTK3
CDH2,FLCN
RFK,PLPP2
PLPP3,PPP1R16B
UPF3A,ELMO1
RAI1,ATXN7L2
LACTBL1,LEPROT
SLC39A11,SEPT8
CXCL17,PCF11
ADAMTS17,KLF9
PSRC1,ZNF143
ENO1,UQCRC2
USP47,CDK11B
SCAF8,PPCS
LACC1,CLDN11
DUSP1,BTK
VAMP3,ITPKC
C5orf38,LEPR
BEST4,POLD4
PTPRJ,CHMP2A
CEBPD,IFIT2
SLC41A2,CCNI
C3orf58,PRKAR1A
TOMM20,NCDN
UBL3,RAB4B
ATG10,ARSF
SHB,GNL1
CGRRF1,CETN3
SARAF,USP17L1
CCDC122,TMED1
ZFAT,FXR1
BNIP3L,CFLAR
TMEM38B,SGK1
C14orf159,CBX7
WSB1,HSP90AA1
CHAMP1,PLPP1
TBC1D5,BOK
POLG,MGAT3
ERI3,C1orf228
CHD9,PRR34
WDFY3,OTUD7B
PKDCC,C21orf91
BTBD16,LURAP1
PRKCH,PSMB5
SH3RF1,PRB1
SLC14A2,MLLT10
PRLHR,PRDX5
ATP10A,SHF
VGLL4,DDX6
NDNL2,LMNA
KCTD7,HSPCA
DYSF,TMEM139
TAF2,SYNPO
PRRC2C,ZNF644
DNMT3A,RANGAP1
CAPZA2,LPAR1
CXorf36,RGPD3
DNAJC1,DCAF11
KIRREL3,TMEM258
SC5D,AKT2
LRRC15,TADA3
WBP4,C8orf37
PIP4K2A,FKBP2
SPRED1,GPR108
NAT10,CLN2
FAM83D,CBLN3
DNTTIP2,WBP2
NINJ2,THAP1
ALPK2,PJA2
BCL2,DXO
LPIN3,GABPA
HIVEP1,VRK2
COL14A1,TRMT112
FAM53B,EPM2AIP1
CAMTA1,CPEB2
CDK18,TUBA1B
DMRT1,PRKCSH
HMP19,ZFC3H1
NUDT12,TIMM21
TCP11L2,DUSP16
SHISA4,HNRNPK
ENO4,ANAPC15
ARHGAP18,MIER1
PLEKHG3,HID1
RFWD3,RNF220
RFC3,CCDC3
PRSS55,LSM14A
PLCL1,AQP12B
PAXIP1,BROX
FBP2,EIF4B
EML4,AQP12A
TSNAX,MTUS1
MPC1,U2AF1L4
DDX10,ITM2B
KIF19,HHIP
COL5A1,HDAC11
MBNL1,SEPT7
CLMN,ACSL1
ADAMTS5,CEP170
FAM171A1,ACSM2A
LMO4,MUTYH
CHRNA7,USP21
DDIT4,ABHD14A
GNAI1,HPS1
BOD1,SIK3
STRBP,KRTAP4-11
CPVL,ATL1
DCTN6,NAA38
FAM98A,GON4L
SLC6A1,C4orf17
GPBP1,GPBP1L1
FLJ20420,SEPT9
RASAL2,LACC1
XPA,NAGK
GLIS3,KDM8
ROR1,ATP5J
ZADH2,CLEC18C
DHX35,KHNYN
NAA20,SP3
LRRC8D,TEX19
PAQR8,SEMA4C
UGGT1,FBXO32
USP32,FAM131A
SLC18A2,THRAP3
MYO10,BAZ2B
EVA1C,EGLN2
AMER2,GALC
C8orf74,RNF41
TIMP2,NECAB1
SLC45A4,RSRP1
PPARGC1A,JOSD2
SDK1,ZMYND12
UCHL1,HEXIM2
NKX6-3,BARHL1
YARS2,MPDU1
TOX,NIPAL4
SRSF5,PAX1
