PromEnh,PromOnly
NBPF11,SLCO4A1
DIP2C,PRR23B
PELI1,GRB10
OSBPL1A,SYNPR
CAST,IGSF10
PRKCQ,MAGEA11
SNX18,BTBD3
KLF9,CD163L1
CA5A,ZFPM2
ZCCHC7,ASIC5
FAM134B,TTR
KDM4C,RTN1
MED26,DKK1
CSRP2,SCN3B
TMEM163,WNT8B
SHROOM3,TFPI
TCL1A,AGBL5
SLC28A3,CST8
CDYL,ADD2
DHDDS,KRTAP2-1
ADAMTS17,KRTAP13-1
SLC25A33,RGS5
MAP3K7,BEX1
SLITRK5,SEMA6D
ID4,ADAM21
MVB12B,GC
BARHL2,FGF10
GSAP,PHPT1
FREM3,NOX3
TNFRSF1B,SPOCK3
DPH5,HTR2A
PRKCE,CGB
NRG3,BRINP2
GLRX3,NEDD4
ST6GAL1,KRTAP19-3
TLE3,IQCF5
AUTS2,NDN
ADRB2,PCDHB2
SHH,FRZB
PRKD1,LCA5
AASS,TGFBR3
FLJ11160,KRBOX1
RBPMS,ATP6V0C
BHLHE22,GREB1
SH2D4A,PAGE2
MCHR2,PTPN13
ARHGEF3,DSG1
GAB1,TRIML1
GRIN2A,FAT3
UGT3A2,DPP10
TBXAS1,INSL5
PLXNA1,MAGEA12
AGTR2,ESRRG
SP8,SERPINB7
NCOA2,TRIM77
XIRP2,RNF128
ARHGAP29,SEMG1
AMOTL1,FAM189A1
CRADD,VSX1
POU5F2,TDRP
AUH,ARSE
SC5D,CCDC105
FOXF2,TBC1D16
ITGB6,FSCB
CLDN10,NEK10
TECRL,SVOPL
CGNL1,ST3GAL1
NNMT,KLB
KCNMB2,FGA
ANKRD33B,NOSTRIN
SMAD3,NAV3
CD200R1L,MTRNR2L6
PSAP,MAP7D2
ACOT9,IL36A
PARM1,RASSF9
ATP8A1,SNCA
KIF20B,BPIFB2
MKRN1,UGT2B10
KLF4,CWH43
PINX1,C9orf57
TMBIM4,CRISP2
FMNL3,IL6ST
LIPE,FGG
PKP4,TEX35
TMPRSS2,PTPRD
CUX1,CLPSL1
PCDH10,BBOX1
ZNF239,GP2
LYRM7,ADCYAP1
NARS,SHROOM3
PITRM1,TBC1D8B
ING2,TTLL2
RPAP3,DCDC1
SYPL1,TNK2
KLF13,HNRNPCL1
COL5A1,ARMC12
SPON1,HRH4
DHRS9,GPR158
ANXA2R,NUP35
MTUS2,KIR2DL3
EN1,GLYATL2
PSD3,GABRR1
DGKG,TSPAN8
CDK6,C6orf201
STK26,ALDOB
CNPY1,PYHIN1
GPR20,ROPN1
TBC1D7,RFPL4B
CCL13,MAGI1
MAPK10,RPEL1
LRP12,DSG2
RAI1,PDE1A
RPTOR,OR8H2
