PromEnh,PromOnly
TBL1XR1,LINGO1
SKI,PAF1
HRH1,CKMT1B
NCK2,CBFB
DLEU7,CLDND2
FLJ11160,THEM4
NCALD,ATP1B4
PPARD,STAM
LCLAT1,RABAC1
COPS8,PALLD
JAG1,FAM122C
PRPF4B,LMNB2
SNX10,OTUD7A
BLZF1,ANO4
YWHAH,PLIN5
USP43,LGALS7
NUP214,CCR2
SLCO4A1,BTBD2
HCK,GPRC6A
CSE1L,POF1B
PLOD1,SHKBP1
THSD4,TECR
TMEM184A,RNF220
ERGIC1,USHBP1
GPR68,ADAM2
ZFYVE21,PCDH19
C5orf47,PACSIN2
RASA4B,MCF2
KIAA0930,ZNF141
CCDC113,GSDMC
VGLL4,SCAI
CYB5RL,MAP2K7
JRKL,PSD
CSNK1E,PIWIL2
C5orf67,INSL3
CDK5RAP2,MBD3
ABCA1,FRG2B
ACO2,C19orf45
C15orf41,MRPL20
AKT3,DEFB106B
MAGEF1,NAKAP95
PNMA2,ARHGAP6
SUN2,CXorf66
GLRX5,PORCN
JAM3,DFFB
ARHGEF10,MMP27
KDM3A,RBBP7
MTDH,BCOR
TP53BP2,RAB9B
LRFN2,FCER2
C9orf69,AKT1S1
ZSCAN20,CDKL5
SETBP1,MPND
C21orf33,BBIP1
SUSD6,ARHGAP22
CDK5R1,LRCH2
CAPZB,DCUN1D3
PIK3R5,CCDC181
CCDC58,PAGE5
TIMP3,DCHS2
SARDH,ANKRD20A1
MYT1L,CKMT1A
SSBP3,CFC1
KBTBD11,AREG
CMTM4,EIF6
SGPL1,RPL21
ARNTL,C10orf88
CPNE5,TCEAL4
MED11,PNLIP
ATP2B2,OR8H2
KMT2E,TRAPPC2
UBAC1,PPP1R12A
PAPD7,NR2F6
SSR1,NSL1
FAM167A,SH3D19
SLC7A1,ZNF574
PNPLA3,RABGAP1L
ABLIM2,CALCRL
MAD1L1,ATG4D
EPN2,ZNF182
SYT6,REXO1
ZNF573,TPSG1
MTCL1,PSMG3
LRIF1,ACAP3
AQP7,SLC9A6
PPIB,GK
NRN1,KIN
LCN8,SPDEF
ARMS2,WDR44
NKX6-3,GPX4
PHF20,SLC35A3
CD82,RBP2
BCL2L11,METRNL
RAB11A,PTPRB
TBC1D16,UPK1B
RNF216,OPHN1
MMP24,MSR1
MRPL37,PAFAH1B3
ADO,HLA-E
LGALS8,RDH12
ZNF575,PSPH
S100A14,SLC16A2
ZNF484,CH25H
DAND5,FRS2
SLC39A14,PLEKHG5
YAP1,DKC1
CIPC,ATP1A1
PEMT,EPHA2
GAS1,PLS3
PARD6B,HSH2D
CCNL1,EFNA2
OXER1,ATP5D
NTPCR,LYRM1
SEMA6A,MED16
VAMP3,ZBTB45
ZNF7,KCNK6
AK2,COX7A1
BRINP3,PGLS
HMP19,TNFRSF25
MBP,ATP8B3
KCNMA1,GSTM1
GRAMD1B,BMX
SLC9B1,MOSPD2
BAHCC1,C10orf71
SORCS2,PRPS2
SLC20A1,SOCS3
MROH5,PEPD
C2orf81,CDO1
NRP2,PRR15L
MAP3K1,IFITM3
NETO1,LONP1
KANK1,TCEANC
SLA,ADARB1
SHBG,MPP1
ATXN1,GJA9
OAF,RAB11B
NOX5,ZBTB38
GRHL2,PVR
PAK1,PNLIPRP3
CLIP1,PHF11
ACTG1,ZFAND6
USP22,GPKOW
ANP32A,KCNIP4
SNX9,TCIRG1
ADAMTS15,GTF2I
TSPAN3,PARVB
CKAP4,TIMM8A
PARVA,PIK3C2B
STK35,SLC18A1
SAXO1,TSC22D3
RSL1D1,SNAPC2
NDUFS5,PDE4D
DOCK10,HMOX2
POLR2M,MCTS1
CAPN5,MICAL2
ITSN1,BLOC1S2
KIAA2013,TANGO2
MEGF6,KIAA1033
CBR1,ZNF500
FZD7,SEMA4A
PSEN2,PCDHA12
DTNBP1,POTEC
CALM2,BCL3
CYB5R3,CCDC9
TBX21,NAPSA
PLPP3,G3BP1
SH2D3C,MRI1
BOD1,ERF
GALK1,GJB6
SSPN,TAF7L
TXNDC17,FXYD3
RASD1,NMRAL1
TRAPPC10,PEX11G
ACSL3,TTN
ZEB2,HNRNPUL1
HMG20B,CLEC4E
NFAM1,PMFBP1
INPP1,PPEF1
KIZ,ADGRL4
CTNNBIP1,ZNF705B
TTC32,CTSZ
TACC1,RAB40C
SLFN11,NFIC
FAM92B,ARHGEF25
DKK3,HSPBP1
TCF4,CLVS1
SCML4,ALDOA
HSPA9B,CXorf67
METTL10,PSG11
HIST1H3H,TIMM23
SPATA2,TRADD
DNAI1,KPTN
USP18,EMP1
MAB21L3,BTBD10
SLC1A3,NOL4
RADIL,FTCD
HORMAD1,FIGF
MYO7A,DUSP14
PRSS38,DRP2
MFHAS1,LRCH1
LGMN,MIB2
ACTA1,FAT1
ZHX3,ZNF428
