file,group,dataset
A36008.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36009.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36010.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36011.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
A36315.3_lanes_dupsFlagged.q5.f0.5mC.CpG.fractional.bw,1,8
51235.CEEHRC.MS000202.WGB-Seq.methylation_profile.bigWig,2,8
52101.CEEHRC.MS009101.H3K27ac.signal_unstranded.bigWig,2,6
52103.CEEHRC.MS009101.H3K4me1.signal_unstranded.bigWig,2,1
52105.CEEHRC.MS009101.H3K4me3.signal_unstranded.bigWig,2,2
52107.CEEHRC.MS009101.Input.signal_unstranded.bigWig,2,7
52208.CEEHRC.MS010302.H3K27me3.signal_unstranded.bigWig,2,4
52210.CEEHRC.MS010302.H3K36me3.signal_unstranded.bigWig,2,5
52212.CEEHRC.MS010302.H3K4me1.signal_unstranded.bigWig,2,1
52214.CEEHRC.MS010302.H3K4me3.signal_unstranded.bigWig,2,2
52216.CEEHRC.MS010302.Input.signal_unstranded.bigWig,2,7
52277.CEEHRC.MS012401.WGB-Seq.methylation_profile.bigWig,2,8
52338.CEEHRC.MS012701.WGB-Seq.methylation_profile.bigWig,2,8
52341.CEEHRC.MS012702.H3K27ac.signal_unstranded.bigWig,2,6
52343.CEEHRC.MS012702.H3K4me1.signal_unstranded.bigWig,2,1
52345.CEEHRC.MS012702.H3K4me3.signal_unstranded.bigWig,2,2
52347.CEEHRC.MS012702.Input.signal_unstranded.bigWig,2,7
52352.CEEHRC.MS012703.H3K27ac.signal_unstranded.bigWig,2,6
52354.CEEHRC.MS012703.H3K4me1.signal_unstranded.bigWig,2,1
52356.CEEHRC.MS012703.H3K4me3.signal_unstranded.bigWig,2,2
52409.CEEHRC.MS013401.WGB-Seq.methylation_profile.bigWig,2,8
52412.CEEHRC.MS013501.WGB-Seq.methylation_profile.bigWig,2,8
