PromEnh,PromOnly
SYN3,KRTAP5-10
SH3PXD2B,PLEKHG5
CPPED1,S100A8
PSMC1,KCTD16
BCOR,EPN3
BMP2K,CLDN2
TCTEX1D1,CLEC7A
SARAF,NCF4
ROR2,KIAA1456
ZNF706,FGF7
TULP4,TMEM212
C10orf142,PDE6G
GRAMD4,GIGYF1
NDNL2,KLHL30
FAT1,TRIM36
OXNAD1,ATP1A3
RND3,NPAS1
SNX22,CCR1
LEPROTL1,C5orf38
HOOK1,FAM166A
TNFSF10,IL13
DPH3,GNAL
VEGFC,MGAT3
ZNF648,HMBS
RAP2A,MSTN
ARGLU1,BRINP1
PLA2R1,C1orf100
FGF3,SOX5
DCLK1,KRT16
LEP,UGT2A1
RNF150,MICAL2
NR1D2,PDZRN4
ALG1L2,IP6K3
APBB2,PHLDA3
CYP1B1,SCRG1
LCLAT1,GABRB2
TIMP3,RDHL
ERGIC1,SLCO4A1
RASGRF1,TYRP1
CITED2,DYNAP
CTIF,RNF222
DDR2,IL5
KMT2E,SLC34A2
DUSP1,SHISA6
ZCCHC24,OPCML
NOX5,TLDC2
DLG5,SLIT1
AFAP1,MYBPHL
STRBP,CTXN1
LYPLAL1,GLP2R
TMEM164,MARCH10
ZHX2,DPP6
ABCA4,AQP1
SPRED2,SBSN
CLCN3,MCC
SPTLC1,PKIA
TANC1,SFTPA1
SPTBN1,CLLU1
SEMA6A,SLCO1C1
WDFY2,PPP2R5E
RAG2,NADK
PTK2,MAPK10
MACROD2,NOX4
SH2D4A,CHRND
PRMT9,GAL3ST2
RPS6KA5,GJA4
DHX15,IGSF10
TRIO,C11orf21
SLC40A1,MTTP
PIK3R1,TMC6
KIAA1462,RAPGEFL1
BRD3,ICAM5
FAM124A,MRO
CHAMP1,GLDN
ADIPOR2,ZNF366
SLC18A1,CUL3
PRKG1,CHRNE
TNS1,IL2RB
EFEMP1,NOD2
OTULIN,SHROOM4
LAMA1,RNASE7
SPATA13,MAPK13
LAMC3,NPVF
SLC45A4,CNGB3
DEPTOR,RINL
MDFIC,FANCB
MSX2,IL16
EDN2,GLRA3
CD34,UCN2
PDE4DIP,MYLK
C4orf45,CITED1
NEBL,ADGRE2
SENP2,IRGC
UBXN2B,GRAP2
LPAR1,SLCO2B1
C10orf131,GNB3
TES,TP73
SYNE3,PDLIM4
APBA2,QTRTD1
PTEN,NEBL
PRDM1,DEFB118
SH3BP4,RAB27A
NAALADL2,TEDDM1
LRRC4,KRT9
EPS8,PNMT
FAM65B,CNKSR1
ATP6V1B2,TSPAN32
CAMTA1,SGCA
SOCS7,FUT9
ADSL,CDH4
CLINT1,MYOC
ZNF704,LY6G6C
PINX1,DRP2
KRR1,THEG
LRRC70,NADK2
SPRY1,EFNA3
ALP,DLGAP1
LRRN3,PNCK
ABHD5,EPPK1
PSA1,GREB1
LRRC15,CDH2
HAAO,ACSBG1
SYPL1,CEP57
CNDP1,GDNF
HMGB2,GJA5
BEND7,C17orf98
NPAS3,DCN
UBASH3B,EPHA10
SEPT11,ENTPD1
ANAPC1,PLIN4
FGGY,SRCIN1
ARHGEF16,RAPGEF1
MAPK4,LDLRAD1
DENND3,LAD1
RAPGEF2,F2RL3
OTX1,GRM3
KDM4C,FGF4
CEBPD,DRD5
CPEB4,FRMPD4
GPR18,OR5K3
CHD1,RGS7
GTDC1,LCE2C
EPB41L4B,SYTL1
CD83,CRYAA
LINGO1,CHAT
TIAM2,ARHGAP22
PGBD5,MYRF
PLB1,GPR55
NSUN7,C1QL2
ANXA1,LRCOL1
HIF1A,ADGRG1
NPVF,TMEM215
SGSM3,FGF13
MICALCL,LRRC19
ALDH1A1,HHATL
HGF,SSC5D
PUDP,TRIM63
SIPA1L1,SCN2B
PRMT8,SHH
MBOAT4,CFHR3
GPR55,FETUB
MSI2,STEAP2
SCOC,UGT1A6
POMP,TTC34
JARID2,C16orf45
RGMB,CA7
FOXF2,GC
ARNTL,TMEM95
MATN2,IL34
CLDN23,GCNT3
GINS2,CYP21A2
DPT,ABCA5
CAMK2D,UGT2B7
ABLIM2,CGA
PLEKHA7,MTFR1
PTPRE,COL7A1
SEC16B,GSTM1
ZBTB7C,POLR3G
NCOR2,ZSCAN18
FBXW7,SLC5A1
SORBS2,IL1RAP
MPPED2,CSN3
HMP19,WDR72
ADGRL2,SLC12A5
SMIM21,HIST3H2A
GPR183,HEMGN
ABTB2,MALL
TNFRSF21,PIP
C3orf67,COMP
CCNI,OSBP2
TCF7,RARB
FLT1,CLUAP1
NARS2,FAM83B
RAB1A,EVI5L
ZIC2,M1AP
ZFYVE26,MGAT4B
SLA,FAM196A
SERP2,DYSF
ZNF827,CSF2RB
MAF,COL17A1
POLR3A,C10orf55
RPS24,SLC1A6
ADRA2C,PTCHD4
TNIK,MPPED2
PLXNA1,CNTN3
CYP2J2,CCDC185
FZD1,PARP4
SOWAHB,ZFP42
ADAM17,TMEM101
DSCC1,ACAN
PPIB,DHRS2
ZNF330,JAG2
SMURF2,OXTR
PRKX,MAOA
DCTN6,PFN3
AFAP1L2,SULT1C4
DOCK9,HIST3H2BB
DGKI,DICER1
MXI1,SLC17A6
SIAH1,GSDMC
SSR3,ELOVL5
PTCD2,SHF
TOMM20,TRIM77
RAD51B,IL36RN
MRPS27,CPEB1
TMPRSS2,CYP2B6
CHN2,PPP2R5A
MBNL2,ARHGEF28
PGPEP1L,DIAPH3
THBS1,AQP8
RAG1,DNAJB4
ZNF438,RNF39
FARS2,C8orf74
PMAIP1,PRR36
CHRNA9,NBPF12
MYB,FHL2
CLN8,SLC24A1
ELL2,ART4
SOX2,C14orf180
GLIPR1,ST6GAL1
DAPL1,EPB41L2
LBH,PLSCR4
BACH2,DTNA
DYNC1I1,ZNF233
KCNK9,LUZP6
BMPER,GABBR2
CLUH,PPFIA2
CTTNBP2,MMP27
ZBTB16,TPO
TBC1D1,MUC7
FRMD4B,TRIM67
RBM47,GRIN1
ERCC6L2,CSDC2
TNFAIP3,ASB15
RABGAP1,FXYD3
HMCN1,RBFOX1
PSMB7,CILP2
MERTK,PCSK6
BASP1,LCK
C4orf51,SOX11
EPAS1,NETO1
CCDC6,CLCA4
KLF5,ADAMTS13
SYNM,TCEB3B
ANKRD50,TIAM1
IRX3,GNG13
CUBN,TMEM266
SPSB1,GPR26
MLLT3,LGALS7B
CCBE1,NIPBL
UMPS,SCML2
ELF1,MSGN1
WDR11,CTSH
LRTM2,ARHGAP28
SMIM12,ADAMTS18
PLA2G2E,IL33
DPH6,COLEC10
CACNA1E,NSG1
CDKAL1,LGALS7
ANO10,S100A9
SMNDC1,FAM110A
TMEM63C,ALOX12B
HBS1L,IGFL4
MBL2,CARD14
CAND1,APOA1
PKDCC,HMGA2
