PromEnh,PromOnly
DPYSL3,CECR2
BCL11B,SEPP1
ATP6IP2,RAB11FIP4
SCUBE1,GFOD2
TBP,LCAT
RP1L1,RFTN2
NOC4,JOSD2
BLOC1S5,PP1201
AADACL3,USP45
CDCA7L,MAGEA4
ZNF532,VAX1
MTA3,HMGCS2
CACNG5,URGCP-MRPS24
MFAP3L,FOXS1
FLJ11160,IFNGR1
PUM3,IER5L
EMP1,KIN
GPATCH2L,RAPGEFL1
WDR5,FKBP14
USP43,SSH1
CHN1,ICAM3
CDS1,DIS3L
LARP1,SH2D3A
CABLES1,URGCP
HECW1,HABP2
RPL10L,LFNG
RUNX1T1,FAM179A
COMMD9,TCL1B
LHFP,PDE10A
RGAG4,KCTD1
FANCI,PFKL
AVPR1A,C1orf101
ZBED6CL,ITM2A
ST3GAL4,ST5
ZCCHC7,FAM195A
BAIAP2,MPP4
LRP2,FYTTD1
TPST2,CCDC92
ABCC4,ATP5C1
MRS2,EMB
DCT,PDSS2
PCDH7,PRR5L
FBLN2,SLC44A1
LRTM1,AGBL4
GRIP1,TBL2
POMC,ALDOC
ENPP6,PYGO1
KLF3,GOLGA6C
PPFIA1,RPRD1A
SNAP25,FAM166B
FAM175B,ITLN2
TM4SF18,FOXP1
RNF220,CAMK2N1
RFTN1,AGO2
L3MBTL4,VWDE
EDN2,UBAP2
UNC5B,SMPD1
RNASEH2B,TRIM6
MYH7,GRAPL
COL21A1,TMEM200B
SSRP1,CYTH2
BEND7,FAM219A
TRNP1,VTN
CARS,MME
NKX6-2,SORL1
GNA12,FAIM2
KCNG3,DBNDD2
AFTPH,EMP1
IER5L,GPR85
SH2B2,STAMBPL1
SEMA3E,KLHDC7A
ACOXL,FNDC5
C17orf97,LHX4
C2orf80,GABRB3
ANGEL1,EXPH5
CREB3L2,TUBB
STC2,B3GNT9
CCDC91,SHC3
ZNF436,UBE2J1
LHFPL2,RGMA
FAM49A,FOXO1
ATXN7,NME2
FBXO40,LRRC74B
DUSP6,ST6GALNAC6
MPDZ,ZSWIM5
GDF3,BZRAP1
NCAM1,ZNF516
PRKCZ,ZBTB20
PAX5,PPFIA1
SRBD1,CARS
SALL3,TERF1
SLC7A11,AHR
MAP3K4,PRRG2
HEG1,BEND3
C3orf70,COL11A1
LIM2,CLCF1
ACTA1,GRASP
COX4I1,GPSM1
PLEKHG1,KCNK1
FIGN,ALK
WNT5B,MTMR7
HMGCS2,KLHL4
KIRREL,PELI1
EIF2AK3,MEST
SMAD7,ANO9
ZIC3,CYB5R3
GRHPR,TPST2
GABRA5,CLDN4
PRUNE2,HACD1
KLHDC10,C2orf73
SLC24A2,NFE2L3
FRMD1,BAHD1
LSM6,FAM110D
PARP11,SLC2A14
NACA2,CUL3
KAZN,SNURF
PGPEP1L,NPEPL1
MFAP3,TMEM95
ARHGEF3,THRB
GSG1,MEGF10
PRSS23,ARHGEF35
JAK1,NLRP14
MFHAS1,FAM101B
SESN3,GRAMD3
LPIN1,CSF1R
ANKRD50,ZNF595
TGFBR1,OLFM2
EPHB1,GPT2
HNMT,ZDHHC23
PBX3,DNAAF5
AEBP2,KCTD8
GALNT8,RING1
FAM114A2,SLC52A2
CTIF,MVB12B
CYBRD1,ENO3
FOXA2,YBX2
GHSR,RUBCN
XRN2,PLAC8
GRM4,WDR27
HNRNPA3,MLYCD
NAP1L4,CKB
NPSR1,FOLR1
KIF26A,LTBP1
IGFBP3,SLC1A3
SLC44A1,ETFB
PACSIN2,CUEDC1
FAM234B,MREG
WDFY2,ENTPD8
TMEM98,ANKRD65
PAPD5,UHMK1
TGFB2,RDH5
NANOG,C1S
