PromEnh,PromOnly
MAP3K7,MCM7
FAM72A,PCDHGB4
RPL34,ACSM2B
ACTB,ZNF93
SKI,SLC27A4
SRGAP2,CBX6
RAB18,CCDC166
ITPR2,GEN1
FANCL,RCOR1
CSH2,ZNF239
CYP19A1,ZNF91
TCP10L2,C1QTNF4
SIX2,KHDC1L
ATXN1,C9orf153
CALM1,PKN3
IFNK,MFNG
BANK1,TDP1
NSUN7,RFPL4AL1
PGBD5,USP10
SMYD2,MSI2
PLGLB1,MST1
MAGEA9B,RABGAP1
PRDM14,LONP1
TNP1,GNB3
APOLD1,EXOC3L1
CDC42EP4,POMT2
P2RY6,ECI1
SKAP2,PPM1A
WDR5,GMEB1
CXCR4,SNX29
BASP1,SEMA4G
POMZP3,MT2A
ZBTB20,ABCC1
LHFPL2,TMEM104
SLC28A3,GINS4
PTMA,DIS3L
KIAA0922,SCGB1C1
NRN1,ACOT7
PSME4,EVPL
PLCG2,TRPT1
FRG2B,PCDHGA11
BRD1,JTB
GNAQ,TPRG1
ADGRL2,YWHAG
NUDT16,ISYNA1
MRPL23,PCDHB8
H19,ZNF729
SERP2,EXOSC7
TMEM163,CORO1B
MGMT,TRADD
NEK10,SEC13
AP1S3,CTDSPL
SLC2A5,TEN1-CDK3
ADO,ANP32E
GOLGA6A,PRAMEF1
C2orf57,PYCR2
GTF2IRD2,TBC1D16
DTX2,CALHM2
JUN,SKI
ATAD1,TRIM6
IRS1,PDIK1L
GDNF,KCNAB3
VAMP2,BLCAP
CHRFAM7A,RNH1
SLX1A,AES
PRKAR2B,B3GALT6
CTBP2,TRIM39
BOLA2B,SRRM2
NDUFA10,ZNF780B
HSFX2,LDB1
MICU1,SCAPER
MKRN1,ZNF419
WNK1,BEND3
LIMS1,DUSP7
NDUFA12,NOVA2
ACTL7B,ZNF107
RAB3C,NTRK1
PMAIP1,MORN3
SMAD7,FRG2C
ROCK1,ERMAP
CTNNB1,CKLFSF7
MAN2A1,ZNF286A
HERC2,ZNF100
KIF20B,MAPKAPK5
CA8,FAM134C
AREG,NT5DC2
FCGR2B,HMBS
CUX1,XCR1
FAM13A,C5orf38
ANAPC1,CCDC124
PCDH10,SH3D21
HIST2H4A,SLC38A10
SULT1A3,ZNF812
AKAP11,DUSP5
AMN1,STXBP5L
PGA5,NAT9
ITGB1,SDC4
ZFP37,SHISA6
OR9A4,ZNF669
ST7,ZNF234
MYCBP2,BCL2L2
FAM65C,NR1H3
SLC24A3,BCL2L2-PABPN1
MERTK,ZNF135
LRRC27,CYYR1
SOX9,ZFPM1
RIMBP3B,FOSB
VRK2,SMIM17
WNT5B,PRAMEF14
WASH1,GABRB3
TARS,CSK
NUP107,PCDHGA4
HIST2H3C,RPL9
CCDC141,AMT
CBS,CBLN4
PLA2G4A,TARM1
HIST2H2AA3,ZNF708
TRIM73,NPEPPS
ACTBL2,AQP7
MEX3C,OSBPL5
NBPF12,CAMK2G
BCL2,OLFM1
RPN1,ARID1A
KCNE1,DUS2
MCFD2,MDP1
TMEM131,STMN3
FANCI,AIF1
SETBP1,PVRIG
CBR4,JMJD8
RNF34,LYPD3
RNLS,SOX30
TNRC18,SLC6A12
C21orf33,CCDC9
PTPN20,ANKRD11
AATK,PPP1R2
ZNF805,LRIF1
LDLRAD3,GFAP
ZIC2,TPTE
SLC35E3,TMEM56
AFF3,FAAP20
SPRN,SLC22A16
FAM153A,ZNF611
TTLL12,RNF166
COX6C,GID8
HIST2H2AA4,PCDHGB3
ARMC3,FHL3
GORAB,ARHGAP23
SYNJ2,PCDHA6
SIGLEC11,POLH
SCEL,ARHGEF15
TRIL,VPS18
RRP7A,OTX2
AGAP9,MAPK12
HIST2H3A,TSPAN4
BMP2,PLEKHG5
RBPMS,KIR3DL1
PTBP2,HP1BP3
MDFIC,ZNF257
IRF8,ACSF2
AGAP6,PPP6R3
RNF130,ZNF441
PLA2G10,CPNE1
HRH2,FAM131B
FASLG,HOXC5
FNBP1,GYG2
GZMA,DOK3
APBB1IP,PCBP2
NBPF10,DPP9
SLC38A1,NEIL1
PTPRJ,KDM6B
FKTN,ZNF566
GOLGA8O,ZBTB43
GOLGA8A,SNAP23
RAPGEF1,SLC17A9
KIDINS220,RNF44
IFNL2,MEGF6
HBA2,CARNS1
SEMA5A,KLHDC2
STK38L,SOX3
BHLHE40,TNNT3
HIST2H4B,UFC1
ARF6,CCDC47
FBXL14,SLC41A3
KY,BRMS1
PHACTR2,MBNL3
TINAGL1,SKOR2
HTT,PPP1R3F
IQGAP3,GAL3ST1
ZCCHC7,AGPAT1
FOXP1,MORF4L1
C11orf58,HDAC10
GSTT2B,PAFAH1B3
NEBL,PCDHGA12
SUGCT,UBXN6
ROPN1B,DOC2A
RGS1,TNNI2
SIPA1L2,ZDHHC9
ARL17B,ZNF254
CT47B1,SETD5
SLCO4A1,PACS1
FRG2C,KIF21B
TANK,TLCD1
FXYD2,RBM14
GRAP,TMEM259
SLC24A4,FAM53B
C1orf228,APOA1
NPY4R,PPP3CA
SUCO,MTA1
ZSWIM2,MRPL53
DDTL,AGAP3
RNF216,NCLN
ZEB1,ZBTB4
IGFBP7,LILRB1
ST3GAL4,CTPS1
TPST1,CLIC3
TMEM134,ZNF607
NUTM2G,SEPT2
RAP1GAP,SRY
PPIP5K1,ANKS1A
NAA35,QSOX2
ABCC4,SSBP3
DNAH10,IL6R
CLEC18A,RCOR3
PLAC8,TNK2
CKMT1B,ZNF628
PTGS2,ACSM3
U2AF1,LSM12
TVP23A,MYO9B
MAP1LC3B2,MSANTD3
CD34,ADGRA2
GMFB,ZNF211
IRAK3,PUSL1
GOLGA8K,ZBTB18
TRIOBP,KRT80
CLEC18C,ZNF577
DDT,PSA1
ZNF439,KIAA0430
HELB,SMG8
SLC16A7,RBM4B
OR52K2,TMEM173
ZNF664,NRSN2
ZNF385A,RAPGEF3
PRLR,CHL1
LRRK2,NFE2L2
SIAT4C,RFNG
AHRR,NFATC3
MS4A2,ZNF891
CTAG2,ZNF26
ARHGAP27,GPN3
TCF4,EP300
CRTAM,CCR7
RSPH10B,MAP7D1
SLC38A10,GOLGA6L9
CYP2U1,WHSC1L1
SLC45A3,FLII
ASH1L,BCL9L
PRODH,DLG3
SETD2,RNF213
SLC41A2,ZNF134
FSCN1,MVB12A
PRKCB,ZNF71
UPK3BL,IMPDH1
CROT,ZBTB32
SLC25A25,APRT
