PromEnh,PromOnly
OSBPL11,FPGT
SPTBN1,TNNI3K
PECI,ERICH3
ZDHHC14,CRYZ
PACS1,TYW3
CHRAC1,LHX8
CCDC3,SLC44A5
SLC22A16,ACADM
TRIM47,RABGGTB
SERINC5,MSH4
PRR18,ASB17
PDE7A,ST6GALNAC3
KRR1,ST6GALNAC5
ABCC2,PIGK
CUBN,AK5
SYNE3,ZZZ3
IFNGR1,USP33
HDAC2,FAM73A
SLC23A1,NEXN
MAFB,FUBP1
ING2,DNAJB4
GTPBP10,GIPC2
NARS,PTGFR
SPATA32,IFI44L
PTPRE,IFI44
ENHO,ADGRL4
PDIA5,ADGRL2
COX18,TTLL7
SHISA2,PRKACB
GRAMD1C,SAMD13
ZC3H12C,DNASE2B
CKLFSF7,RPF1
GOLPH3,GNG5
FNTB,CTBS
TOP1,SSX2IP
ICT1,LPAR3
AAK1,MCOLN2
NTF3,MCOLN3
ABHD5,WDR63
KIF26A,SYDE2
DCT,C1orf52
AQP3,BCL10
PDCD4,DDAH1
PCSK5,CYR61
SEMA5B,ZNHIT6
BNIP3L,COL24A1
NUDT12,ODF2L
FAM92B,CLCA2
RELL1,CLCA1
SMAD7,CLCA4
MFHAS1,SH3GLB1
RAPGEF5,SEP15
TP53AIP1,HS2ST1
PRKACG,LMO4
GPR68,PKN2
CBR4,GTF2B
AP1S3,CCBL2
FAM72C,RBMXL1
C16orf95,GBP3
PITPNM2,GBP1
SETMAR,GBP2
ARRB1,GBP7
DENND1A,GBP4
VGLL4,GBP6
MTMR2,LRRC8B
COG7,LRRC8C
XPNPEP1,LRRC8D
SEMA5A,ZNF326
TLE3,BARHL2
OC90,ZNF644
SDC2,HFM1
TES,CDC7
KRCC1,TGFBR3
EPN2,BRDT
MYLIP,EPHX4
RALGAPA2,SETSIP
GPAT2,BTBD8
RFC3,C1orf146
IL1R2,GLMN
CPM,GFI1
TESC,EVI5
GPR39,RPL5
SUPT3H,FAM69A
IKBKB,MTF2
GDPD5,TMED5
FAM122A,CCDC18
MBNL2,DR1
PDHB,FNBP1L
TMEM54,BCAR3
ABO,DNTTIP2
TNFRSF11A,GCLM
SPRED2,ABCA4
ROPN1L,ARHGAP29
